salario,salario_reale,eta,istruzione,annistruzione,genere,cittadinanza,tiponucleo,area5,area3,regione,statocivile,oredilavoro,qualifica,contratto,settore,peso
1200,1175.5395683453237,20,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Emilia Romagna,Celibe/nubile,40,Impiegato,A tempo pieno,Assistenza sanitaria,1143.4
1520,1489.0167865707433,39,5,13,Maschio,Cittadino italiano,Persona isolata,Nord-Est,Nord,Veneto,Celibe/nubile,40,Operaio,A tempo pieno,Metallurgia,462.1
2000,1959.2326139088727,48,10,18,Femmina,Cittadino italiano,Persona isolata,Nord-Est,Nord,Veneto,Celibe/nubile,45,Impiegato,A tempo pieno,Attività di organizzazioni associative,1121.3
1600,1567.3860911270983,46,3,8,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Celibe/nubile,40,Impiegato,A tempo pieno,Alloggio,286.9
1600,1567.3860911270983,40,4,11,Maschio,Cittadino italiano,Persona isolata,Nord-Est,Nord,Friuli Venezia Giulia,Celibe/nubile,40,Operaio,A tempo pieno,Attività dei servizi di ristorazione,469
1200,1175.5395683453237,41,5,13,Maschio,cittadino straniero non UE,Coppia con figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,40,Operaio,A tempo pieno,Attività di famiglie e convivenze come datori di lavoro per personale domestico,769.6
1570,1537.997601918465,44,3,8,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Basilicata,Coniugato/a,40,Operaio,A tempo pieno,"Fabbricazione di autoveicoli, rimorchi e semirimorchi",87.1
2800,2742.925659472422,54,5,13,Maschio,Cittadino italiano,Coppia senza figli,Centro,Centro,Toscana,Coniugato/a,40,Impiegato,A tempo pieno,Fabbricazione di prodotti chimici,573.4
800,783.6930455635492,52,5,13,Femmina,Cittadino italiano,Coppia senza figli,Centro,Centro,Toscana,Coniugato/a,20,Impiegato,A tempo parziale (part-time),Attività legali e contabilità,573.4
1000,979.6163069544364,57,3,8,Femmina,Cittadino italiano,Persona isolata,Centro,Centro,Toscana,Separato/a o divorziato/a,20,Impiegato,A tempo parziale (part-time),Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),561.9
1420,1391.0551558752998,52,3,8,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Celibe/nubile,45,Impiegato,A tempo pieno,"Attività sportive, di intrattenimento e di divertimento",396.3
1400,1371.462829736211,63,3,8,Maschio,cittadino straniero non UE,Coppia con figli,Nord-Ovest,Nord,Valle d'Aosta,Coniugato/a,40,Operaio,A tempo pieno,Attività dei servizi di ristorazione,31.9
1800,1763.3093525179854,47,3,8,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Valle d'Aosta,Coniugato/a,45,Operaio,A tempo pieno,Costruzione di edifici,28.5
1700,1665.347721822542,41,10,18,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Valle d'Aosta,Coniugato/a,30,Impiegato,A tempo parziale (part-time),Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),28.5
1400,1371.462829736211,37,10,18,Maschio,Cittadino italiano,Monogenitore femmina,Sud,Mezzogiorno,Calabria,Celibe/nubile,40,Impiegato,A tempo pieno,Fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature),609.9
1380,1351.8705035971225,54,3,8,Maschio,Cittadino italiano,Coppia senza figli,Centro,Centro,Toscana,Coniugato/a,40,Operaio,A tempo pieno,Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),523.5
1110,1087.3741007194244,49,5,13,Femmina,Cittadino italiano,Coppia senza figli,Centro,Centro,Toscana,Coniugato/a,40,Operaio,A tempo pieno,Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),523.5
1800,1763.3093525179854,63,4,11,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,40,Operaio,A tempo pieno,Trasporto terrestre e trasporto mediante condotte,264
1500,1469.4244604316546,26,8,16,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Celibe/nubile,36,Impiegato,A tempo pieno,Assistenza sanitaria,264
1800,1763.3093525179854,41,5,13,Femmina,Cittadino italiano,Persona isolata,Nord-Est,Nord,Veneto,Celibe/nubile,40,Operaio,A tempo pieno,Trasporto terrestre e trasporto mediante condotte,305
840,822.8776978417266,33,1,0,Maschio,cittadino straniero non UE,Persona isolata,Sud,Mezzogiorno,Calabria,Separato/a o divorziato/a,43,Operaio,A tempo pieno,"Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",604.3
1500,1469.4244604316546,56,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Veneto,Coniugato/a,36,Impiegato,A tempo pieno,Servizi postali e attività di corriere,95
1500,1469.4244604316546,56,10,18,Femmina,Cittadino italiano,Persona isolata,Centro,Centro,Umbria,Celibe/nubile,39,Impiegato,A tempo pieno,"Raccolta, trattamento e fornitura di acqua",258.6
2000,1959.2326139088727,63,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Friuli Venezia Giulia,Coniugato/a,38,Quadro,A tempo pieno,Magazzinaggio e attività di supporto ai trasporti,187.5
700,685.7314148681055,61,4,11,Maschio,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Liguria,Celibe/nubile,30,Operaio,A tempo parziale (part-time),"Attività sportive, di intrattenimento e di divertimento",349.8
1600,1567.3860911270983,55,5,13,Maschio,cittadino straniero UE,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,50,Operaio,A tempo pieno,"Attività di ricerca, selezione, fornitura di personale",1342.1
1610,1577.1822541966426,29,9,18,Femmina,cittadino straniero UE,Coppia con figli,Nord-Ovest,Nord,Lombardia,Celibe/nubile,40,Quadro,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),1342.1
1900,1861.2709832134292,57,4,11,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Friuli Venezia Giulia,Coniugato/a,36,Impiegato,A tempo pieno,Assistenza sanitaria,336.5
1600,1567.3860911270983,29,8,16,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Friuli Venezia Giulia,Celibe/nubile,36,Impiegato,A tempo pieno,Assistenza sanitaria,336.5
1800,1763.3093525179854,58,5,13,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Basilicata,Coniugato/a,45,Impiegato,A tempo pieno,Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,206.1
1600,1567.3860911270983,56,5,13,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Basilicata,Coniugato/a,40,Impiegato,A tempo pieno,Telecomunicazioni,206.1
1500,1469.4244604316546,32,12,19,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Basilicata,Celibe/nubile,18,Impiegato,A tempo pieno,Istruzione,206.1
2430,2380.4676258992804,48,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Friuli Venezia Giulia,Coniugato/a,44,Impiegato,A tempo pieno,Fabbricazione di articoli in gomma e materie plastiche,256.9
1250,1224.5203836930457,56,5,13,Femmina,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Liguria,Coniugato/a,30,Impiegato,A tempo parziale (part-time),Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,165
1600,1567.3860911270983,48,3,8,Maschio,Cittadino italiano,Persona isolata,Nord-Est,Nord,Trentino-Alto Adige,Celibe/nubile,40,Operaio,A tempo pieno,Lavori di costruzione specializzati,300.1
1000,979.6163069544364,66,3,8,Maschio,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,40,Operaio,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,789.5
900,881.6546762589927,26,5,13,Femmina,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Celibe/nubile,40,Operaio,A tempo pieno,Attività dei servizi di ristorazione,789.5
1600,1567.3860911270983,41,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Valle d'Aosta,Celibe/nubile,40,Operaio,A tempo pieno,Fabbricazione di articoli in gomma e materie plastiche,65.9
1400,1371.462829736211,25,8,16,Femmina,Cittadino italiano,Monogenitore femmina,Centro,Centro,Marche,Celibe/nubile,40,Quadro,A tempo pieno,Attività di direzione aziendale e di consulenza gestionale,279.2
1200,1175.5395683453237,33,9,18,Femmina,Cittadino italiano,Coppia senza figli,Centro,Centro,Toscana,Coniugato/a,24,Impiegato,A tempo pieno,Istruzione,570.3
3000,2938.848920863309,37,12,19,Maschio,Cittadino italiano,Coppia senza figli,Centro,Centro,Toscana,Coniugato/a,40,Quadro,A tempo pieno,Assistenza sanitaria,570.3
1190,1165.7434052757792,31,4,11,Femmina,Cittadino italiano,Persona isolata,Isole,Mezzogiorno,Sicilia,Celibe/nubile,20,Operaio,A tempo parziale (part-time),Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),527.8
1300,1273.5011990407672,48,5,13,Femmina,Cittadino italiano,Monogenitore femmina,Nord-Ovest,Nord,Lombardia,Separato/a o divorziato/a,36,Operaio,A tempo pieno,Assistenza sanitaria,812.9
2100,2057.1942446043163,42,5,13,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Puglia,Coniugato/a,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,2636
1700,1665.347721822542,36,5,13,Maschio,Cittadino italiano,Coppia senza figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,171.9
1600,1567.3860911270983,29,5,13,Femmina,Cittadino italiano,Coppia senza figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,38,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,171.9
1800,1763.3093525179854,42,10,18,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,40,Dirigente,A tempo pieno,Attività degli studi di architettura e d'ingegneria; collaudi ed analisi tecniche,548.3
2400,2351.0791366906474,43,7,15,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Separato/a o divorziato/a,50,Impiegato,A tempo pieno,Pubblicità e ricerche di mercato,1041.7
2200,2155.15587529976,44,11,19,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Celibe/nubile,40,Quadro,A tempo pieno,Attività di direzione aziendale e di consulenza gestionale,1041.7
1190,1165.7434052757792,37,8,16,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Valle d'Aosta,Celibe/nubile,43,Impiegato,A tempo pieno,Magazzinaggio e attività di supporto ai trasporti,50.6
1680,1645.7553956834531,36,8,16,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Valle d'Aosta,Celibe/nubile,36,Impiegato,A tempo pieno,Assistenza sanitaria,50.6
2610,2556.798561151079,53,5,13,Maschio,Cittadino italiano,Coppia senza figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,40,Quadro,A tempo pieno,"Fabbricazione di autoveicoli, rimorchi e semirimorchi",93.3
1200,1175.5395683453237,55,4,11,Femmina,Cittadino italiano,Coppia senza figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,20,Impiegato,A tempo parziale (part-time),Istruzione,93.3
2000,1959.2326139088727,51,3,8,Maschio,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,40,Operaio,A tempo pieno,Ingegneria civile,430.4
1300,1273.5011990407672,55,5,13,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Toscana,Coniugato/a,40,Operaio,A tempo pieno,Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,526.3
1200,1175.5395683453237,25,4,11,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Toscana,Celibe/nubile,36,Impiegato,A tempo pieno,Assistenza sanitaria,526.3
1990,1949.4364508393285,54,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,44,Impiegato,A tempo pieno,Fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature),557
1120,1097.170263788969,45,3,8,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,24,Impiegato,A tempo parziale (part-time),Assistenza sanitaria,557
1400,1371.462829736211,35,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Emilia Romagna,Celibe/nubile,40,Operaio,A tempo pieno,Fabbricazione di macchinari ed apparecchiature nca,837.3
2300,2253.117505995204,57,5,13,Maschio,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Lombardia,Celibe/nubile,45,Quadro,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,1402.3
1600,1567.3860911270983,57,3,8,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,38,Operaio,A tempo pieno,"Attività di raccolta, trattamento e smaltimento dei rifiuti; recupero dei materiali",73.2
2800,2742.925659472422,50,5,13,Maschio,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Piemonte,Separato/a o divorziato/a,36,Quadro,A tempo pieno,Attività dei servizi d'informazione e altri servizi informatici,402.3
3000,2938.848920863309,47,12,19,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,35,Dirigente,A tempo pieno,Assistenza sanitaria,328.3
940,920.8393285371702,41,4,11,Maschio,Cittadino italiano,Persona isolata,Sud,Mezzogiorno,Calabria,Separato/a o divorziato/a,38,Operaio,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),441.7
1200,1175.5395683453237,53,5,13,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Basilicata,Coniugato/a,36,Operaio,A tempo pieno,Silvicoltura ed utilizzo di aree forestali,279.9
1500,1469.4244604316546,29,11,19,Femmina,Cittadino italiano,Monogenitore femmina,Nord-Est,Nord,Friuli Venezia Giulia,Celibe/nubile,40,Impiegato,A tempo pieno,Fabbricazione di macchinari ed apparecchiature nca,181.6
1560,1528.2014388489208,49,3,8,Femmina,Cittadino italiano,Monogenitore femmina,Centro,Centro,Toscana,Celibe/nubile,44,Impiegato,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),871.9
1310,1283.2973621103115,27,5,13,Maschio,Cittadino italiano,Monogenitore femmina,Centro,Centro,Toscana,Celibe/nubile,40,Operaio,A tempo pieno,Fabbricazione di macchinari ed apparecchiature nca,871.9
1020,999.2086330935252,63,3,8,Maschio,Cittadino italiano,Coppia senza figli,Nord-Est,Nord,Emilia Romagna,Coniugato/a,48,Operaio,A tempo pieno,Alloggio,1618.9
1150,1126.558752997602,47,5,13,Femmina,Cittadino italiano,Coppia senza figli,Nord-Est,Nord,Emilia Romagna,Coniugato/a,50,Operaio,A tempo pieno,Alloggio,1618.9
1100,1077.57793764988,57,5,13,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Abruzzo,Coniugato/a,42,Impiegato,A tempo pieno,Industrie alimentari,571.7
1100,1077.57793764988,23,5,13,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Abruzzo,Celibe/nubile,56,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,571.7
1270,1244.1127098321342,26,3,8,Maschio,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Piemonte,Celibe/nubile,40,Apprendista,A tempo pieno,"Fabbricazione di autoveicoli, rimorchi e semirimorchi",321.4
700,685.7314148681055,19,5,13,Maschio,Cittadino italiano,Monogenitore maschio,Sud,Mezzogiorno,Basilicata,Celibe/nubile,50,Operaio,A tempo pieno,Attività dei servizi di ristorazione,278.1
1300,1273.5011990407672,49,3,8,Maschio,Cittadino italiano,Coppia senza figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,40,Operaio,A tempo pieno,Altre attività di servizi per la persona,226.5
870,852.2661870503597,44,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,15,Operaio,A tempo parziale (part-time),Attività di famiglie e convivenze come datori di lavoro per personale domestico,597.6
1400,1371.462829736211,21,4,11,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Celibe/nubile,44,Impiegato,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),597.6
1720,1684.9400479616306,39,5,13,Maschio,cittadino straniero non UE,Persona isolata,Nord-Ovest,Nord,Piemonte,Celibe/nubile,40,Operaio,A tempo pieno,Lavori di costruzione specializzati,597.6
1910,1871.0671462829737,40,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,40,Impiegato,A tempo pieno,Fabbricazione di articoli in gomma e materie plastiche,1525.3
1450,1420.4436450839328,35,3,8,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,35,Impiegato,A tempo pieno,Magazzinaggio e attività di supporto ai trasporti,1525.3
1150,1126.558752997602,41,3,8,Femmina,Cittadino italiano,Coppia senza figli,Centro,Centro,Lazio,Celibe/nubile,40,Operaio,A tempo pieno,Attività editoriali,1053.1
1570,1537.997601918465,59,5,13,Femmina,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,40,Impiegato,A tempo pieno,Fabbricazione di macchinari ed apparecchiature nca,509.9
1100,1077.57793764988,30,3,8,Maschio,cittadino straniero non UE,Coppia con figli,Centro,Centro,Toscana,Coniugato/a,40,Operaio,A tempo pieno,Attività dei servizi di ristorazione,523.4
2100,2057.1942446043163,50,10,18,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,30,Impiegato,A tempo parziale (part-time),Confezione di articoli di abbigliamento; confezione di articoli in pelle e pelliccia,843.8
970,950.2278177458032,47,3,8,Femmina,Cittadino italiano,Persona isolata,Isole,Mezzogiorno,Sardegna,Separato/a o divorziato/a,48,Operaio,A tempo pieno,Attività di servizi per edifici e paesaggio,302.9
